QAH Bit,AH Bit 1,AH Bit 0,"Serv 2
Bit 1","Serv 2
Bit 0","Serv 1
Bit 1","Serv 1
Bit 0",TR Bit,ArUco ID,Suppy Required,Ant Hill Type
0,0,1,0,0,0,0,0,32,No Service Required,Regular
0,0,1,0,0,0,0,1,33,Only Trash Removal,
0,0,1,0,0,0,1,0,34,Only Serv 1-Honey Dew,
0,0,1,0,0,0,1,1,35,Serv 1-Honey Dew & Trash Removal,
0,0,1,0,0,1,0,0,36,Only Serv 1-Leaves,
0,0,1,0,0,1,0,1,37,Serv 1-Leaves & Trash Removal,
0,0,1,0,0,1,1,0,38,Only Serv 1-Wood,
0,0,1,0,0,1,1,1,39,Serv 1-Wood & Trash Removal,
0,0,1,0,1,0,0,0,40,Only Serv 2-Honey Dew,
0,0,1,0,1,0,0,1,41,Serv 2-Honey Dew & Trash Removal,
0,0,1,0,1,1,0,0,44,"Serv 1-Leaves, Serv 2-Honey Dew",
0,0,1,0,1,1,1,0,46,"Serv 1-Wood, Serv 2-Honey Dew",
0,0,1,1,0,0,0,0,48,Only Serv 2-Leaves,
0,0,1,1,0,0,0,1,49,Serv 2-Leaves & Trash Removal,
0,0,1,1,0,0,1,0,50,"Serv 1-Honey Dew, Serv 2-Leaves",
0,0,1,1,0,1,1,0,54,"Serv 1-Wood, Serv 2-Leaves",
0,0,1,1,1,0,0,0,56,Only Serv 2- Wood,
0,0,1,1,1,0,0,1,57,Serv 2-Wood & Trash Removal,
0,0,1,1,1,0,1,0,58,"Serv 1-Honey Dew, Serv 2-Wood",
0,0,1,1,1,1,0,0,60,"Serv 1-Leaves, Serv 2-Wood",
1,0,1,0,0,0,0,0,160,No Service Required,Queen
1,0,1,0,0,0,0,1,161,Only Trash Removal,
1,0,1,0,0,0,1,0,162,Only Serv 1-Honey Dew,
1,0,1,0,0,0,1,1,163,Serv 1-Honey Dew & Trash Removal,
1,0,1,0,0,1,0,0,164,Only Serv 1-Leaves,
1,0,1,0,0,1,0,1,165,Serv 1-Leaves & Trash Removal,
1,0,1,0,0,1,1,0,166,Only Serv 1-Wood,
1,0,1,0,0,1,1,1,167,Serv 1-Wood & Trash Removal,
1,0,1,0,1,0,0,0,168,Only Serv 2-Honey Dew,
1,0,1,0,1,0,0,1,169,Serv 2-Honey Dew & Trash Removal,
1,0,1,0,1,1,0,0,172,"Serv 1-Leaves, Serv 2-Honey Dew",
1,0,1,0,1,1,1,0,174,"Serv 1-Wood, Serv 2-Honey Dew",
1,0,1,1,0,0,0,0,176,Only Serv 2-Leaves,
1,0,1,1,0,0,0,1,177,Serv 2-Leaves & Trash Removal,
1,0,1,1,0,0,1,0,178,"Serv 1-Honey Dew, Serv 2-Leaves",
1,0,1,1,0,1,1,0,182,"Serv 1-Wood, Serv 2-Leaves",
1,0,1,1,1,0,0,0,184,Only Serv 2- Wood,
1,0,1,1,1,0,0,1,185,Serv 2-Wood & Trash Removal,
1,0,1,1,1,0,1,0,186,"Serv 1-Honey Dew, Serv 2-Wood",
1,0,1,1,1,1,0,0,188,"Serv 1-Leaves, Serv 2-Wood",
